symbol,ex_date,ratio,purpose
360ONE,2023-03-02,0.5,split 2:1
ABB,2007-06-28,0.2,split 5:1
ADANIENT,2009-12-10,0.5,split 2:1
ADANIPORTS,2010-09-23,0.2,split 5:1
ADANIPOWER,2025-09-22,0.2,split 5:1
AMBUJACEM,2005-06-20,0.2,split 5:1
APLAPOLLO,2020-12-15,0.2,split 5:1
APLAPOLLO,2021-09-16,0.5,split 2:1
APOLLOHOSP,2010-09-02,0.5,split 2:1
ASHOKLEY,2011-08-02,0.5,split 2:1
ASHOKLEY,2025-07-16,0.5,split 2:1
ASIANPAINT,2003-08-22,0.6666666666666666,split 1.5:1
ASIANPAINT,2013-07-30,0.1,split 10:1
ASTRAL,2010-09-15,0.5,split 2:1
ASTRAL,2013-09-05,0.4,split 2.5:1
ASTRAL,2014-09-25,0.5,split 2:1
ASTRAL,2019-09-16,0.8,split 1.25:1
ASTRAL,2021-03-18,0.75,split 1.33333:1
ASTRAL,2023-03-14,0.75,split 1.33333:1
AUBANK,2022-06-09,0.5,split 2:1
AUROPHARMA,2003-10-23,0.5,split 2:1
AUROPHARMA,2011-02-10,0.2,split 5:1
AUROPHARMA,2015-07-20,0.5,split 2:1
AXISBANK,2014-07-28,0.2,split 5:1
BAJAJ-AUTO,2010-09-08,0.5,split 2:1
BAJAJFINSV,2022-09-13,0.2,split 5:1
BAJFINANCE,2016-09-08,0.2,split 5:1
BAJFINANCE,2025-06-16,0.5,split 2:1
BANKBARODA,2015-01-22,0.2,split 5:1
BDL,2024-05-24,0.5,split 2:1
BEL,2015-09-14,0.3333333333333333,split 3:1
BEL,2017-03-16,0.1,split 10:1
BEL,2017-09-28,0.9090909090909091,split 1.1:1
BEL,2022-09-15,0.3333333333333333,split 3:1
BHARATFORG,2005-07-20,0.2,split 5:1
BHARATFORG,2017-09-28,0.5,split 2:1
BHARTIARTL,2009-07-24,0.5,split 2:1
BHEL,2007-05-31,0.5,split 2:1
BHEL,2011-10-03,0.2,split 5:1
BHEL,2017-09-28,0.6666666666666666,split 1.5:1
BIOCON,2008-09-11,0.5,split 2:1
BIOCON,2017-06-15,0.3333333333333333,split 3:1
BIOCON,2019-06-12,0.5,split 2:1
BLUESTARCO,2006-09-20,0.2,split 5:1
BLUESTARCO,2023-06-20,0.5,split 2:1
BOSCHLTD,2004-07-08,0.1,split 10:1
BPCL,2000-12-20,0.5,split 2:1
BPCL,2012-07-13,0.5,split 2:1
BPCL,2016-07-13,0.5,split 2:1
BPCL,2017-07-13,0.6666666666666666,split 1.5:1
BPCL,2024-06-21,0.5,split 2:1
BRITANNIA,1999-09-24,0.6666666666666666,split 1.5:1
