symbol,valid_from,valid_to
360ONE,2015-01-01,9999-12-31
ABB,2015-01-01,9999-12-31
ABBOTINDIA,2023-08-11,2024-01-14
ABCAPITAL,2017-09-01,9999-12-31
ABFRL,2017-11-13,2024-01-14
ACC,2017-11-13,2024-01-14
ADANIENSOL,2015-07-31,9999-12-31
ADANIENT,2015-01-01,9999-12-31
ADANIGREEN,2018-06-18,9999-12-31
ADANIPORTS,2015-01-01,9999-12-31
ADANIPOWER,2015-01-01,9999-12-31
AIAENG,2017-11-13,2019-02-02
AJANTPHARM,2017-11-13,2023-08-11
ALKEM,2015-12-23,9999-12-31
AMBUJACEM,2015-01-01,9999-12-31
APLAPOLLO,2015-01-01,9999-12-31
APOLLOHOSP,2015-01-01,9999-12-31
APOLLOTYRE,2017-11-13,2024-01-14
ARVIND,2017-11-13,2019-02-02
ASHOKLEY,2015-01-01,9999-12-31
ASIANPAINT,2015-01-01,9999-12-31
ASTRAL,2015-01-01,9999-12-31
ATGL,2018-11-05,9999-12-31
AUBANK,2017-07-10,9999-12-31
AUROPHARMA,2015-01-01,9999-12-31
AVANTIFEED,2019-02-02,2023-08-11
AWL,2023-08-11,2024-01-14
AXISBANK,2015-01-01,9999-12-31
BAJAJ-AUTO,2015-01-01,9999-12-31
BAJAJFINSV,2015-01-01,9999-12-31
BAJAJHLDNG,2015-01-01,9999-12-31
BAJFINANCE,2015-01-01,9999-12-31
BALKRISIND,2017-11-13,2024-01-14
BANDHANBNK,2019-02-02,2024-01-14
BANKBARODA,2015-01-01,9999-12-31
BANKINDIA,2015-01-01,9999-12-31
BATAINDIA,2017-11-13,2024-01-14
BBTC,2019-02-02,2023-08-11
BDL,2018-03-23,9999-12-31
BEL,2015-01-01,9999-12-31
BERGEPAINT,2017-11-13,2024-01-14
BHARATFIN,2017-11-13,2019-02-02
BHARATFORG,2015-01-01,9999-12-31
BHARTIARTL,2015-01-01,9999-12-31
BHEL,2015-01-01,9999-12-31
BIOCON,2015-01-01,9999-12-31
BLUESTARCO,2015-01-01,9999-12-31
BOSCHLTD,2015-01-01,9999-12-31
BPCL,2015-01-01,9999-12-31
BRITANNIA,2015-01-01,9999-12-31
BSE,2017-02-03,9999-12-31
CANBK,2015-01-01,9999-12-31
CASTROLIND,2017-11-13,2023-08-11
CENTRALBK,2017-11-13,2023-08-11
CENTURYTEX,2017-11-13,2019-02-02
CESC,2017-11-13,2018-03-15
CGPOWER,2015-01-01,9999-12-31
CHOLAFIN,2015-01-01,9999-12-31
CIPLA,2015-01-01,9999-12-31
COALINDIA,2015-01-01,9999-12-31
COCHINSHIP,2017-08-11,9999-12-31
COFORGE,2015-01-01,9999-12-31
COLPAL,2015-01-01,9999-12-31
CONCOR,2015-01-01,9999-12-31
COROMANDEL,2015-01-01,9999-12-31
CRISIL,2017-11-13,2019-02-02
CROMPTON,2017-11-13,2024-01-14
CUMMINSIND,2015-01-01,9999-12-31
DABUR,2015-01-01,9999-12-31
DALBHARAT,2023-08-11,2024-01-14
DALMIABHA,2017-11-13,2019-02-02
DBL,2019-02-02,2023-08-11
DEEPAKNTR,2023-08-11,2024-01-14
DELHIVERY,2023-08-11,2024-01-14
DEVYANI,2023-08-11,2024-01-14
DHFL,2017-11-13,2023-08-11
DISHTV,2017-11-13,2023-08-11
DIVISLAB,2015-01-01,9999-12-31
DIXON,2017-09-18,9999-12-31
DLF,2015-01-01,9999-12-31
DMART,2017-03-21,9999-12-31
DRREDDY,2015-01-01,9999-12-31
EDELWEISS,2017-11-13,2023-08-11
EICHERMOT,2015-01-01,9999-12-31
EMAMILTD,2017-11-13,2019-02-02
ENDURANCE,2017-11-13,2023-08-11
ENGINERSIN,2017-11-13,2023-08-11
ENRIN,2025-06-19,9999-12-31
ESCORTS,2019-02-02,2024-01-14
ETERNAL,2021-07-23,9999-12-31
EXIDEIND,2015-01-01,9999-12-31
FCONSUMER,2019-02-02,2023-08-11
FEDERALBNK,2015-01-01,9999-12-31
FLUOROCHEM,2023-08-11,2024-01-14
FORTIS,2015-01-01,9999-12-31
FRETAIL,2019-02-02,2023-08-11
GAIL,2015-01-01,9999-12-31
GICRE,2019-02-02,2023-08-11
GLAND,2023-08-11,2024-01-14
GLAXO,2017-11-13,2019-02-02
GLENMARK,2015-01-01,9999-12-31
GMRAIRPORT,2015-01-01,9999-12-31
GMRINFRA,2017-11-13,2023-08-11
GODFRYPHLP,2015-01-01,9999-12-31
GODREJAGRO,2019-02-02,2023-08-11
GODREJCP,2015-01-01,9999-12-31
GODREJIND,2017-11-13,2023-08-11
GODREJPROP,2015-01-01,9999-12-31
GPPL,2017-11-13,2019-02-02
GRAPHITE,2019-02-02,2023-08-11
GRASIM,2015-01-01,9999-12-31
GROWW,2025-11-12,9999-12-31
GRUH,2017-11-13,2023-08-11
GSKCONS,2017-11-13,2019-02-02
GSPL,2017-11-13,2023-08-11
GUJGASLTD,2023-08-11,2024-01-14
GVT&D,2015-01-01,9999-12-31
HAL,2018-03-28,9999-12-31
HAVELLS,2015-01-01,9999-12-31
HCLTECH,2015-01-01,9999-12-31
HDFC,2017-11-13,2023-08-11
HDFCAMC,2018-08-06,9999-12-31
HDFCBANK,2015-01-01,9999-12-31
HDFCLIFE,2017-11-17,9999-12-31
