symbol,action,effective_date,source
ABFRL,add,2017-11-13,wayback:reinstate
ACC,add,2017-11-13,wayback:reinstate
AIAENG,add,2017-11-13,wayback:reinstate
AJANTPHARM,add,2017-11-13,wayback:reinstate
APOLLOTYRE,add,2017-11-13,wayback:reinstate
ARVIND,add,2017-11-13,wayback:reinstate
BALKRISIND,add,2017-11-13,wayback:reinstate
BATAINDIA,add,2017-11-13,wayback:reinstate
BERGEPAINT,add,2017-11-13,wayback:reinstate
BHARATFIN,add,2017-11-13,wayback:reinstate
CASTROLIND,add,2017-11-13,wayback:reinstate
CENTRALBK,add,2017-11-13,wayback:reinstate
CENTURYTEX,add,2017-11-13,wayback:reinstate
CESC,add,2017-11-13,wayback:reinstate
CRISIL,add,2017-11-13,wayback:reinstate
CROMPTON,add,2017-11-13,wayback:reinstate
DALMIABHA,add,2017-11-13,wayback:reinstate
DHFL,add,2017-11-13,wayback:reinstate
DISHTV,add,2017-11-13,wayback:reinstate
EDELWEISS,add,2017-11-13,wayback:reinstate
EMAMILTD,add,2017-11-13,wayback:reinstate
ENDURANCE,add,2017-11-13,wayback:reinstate
ENGINERSIN,add,2017-11-13,wayback:reinstate
GLAXO,add,2017-11-13,wayback:reinstate
GMRINFRA,add,2017-11-13,wayback:reinstate
GODREJIND,add,2017-11-13,wayback:reinstate
GPPL,add,2017-11-13,wayback:reinstate
GRUH,add,2017-11-13,wayback:reinstate
GSKCONS,add,2017-11-13,wayback:reinstate
GSPL,add,2017-11-13,wayback:reinstate
HDFC,add,2017-11-13,wayback:reinstate
HEXAWARE,add,2017-11-13,wayback:reinstate
IBULHSGFIN,add,2017-11-13,wayback:reinstate
ICICIPRULI,add,2017-11-13,wayback:reinstate
IDBI,add,2017-11-13,wayback:reinstate
IGL,add,2017-11-13,wayback:reinstate
INFRATEL,add,2017-11-13,wayback:reinstate
IPCALAB,add,2017-11-13,wayback:reinstate
IRB,add,2017-11-13,wayback:reinstate
JUBILANT,add,2017-11-13,wayback:reinstate
KARURVYSYA,add,2017-11-13,wayback:reinstate
LALPATHLAB,add,2017-11-13,wayback:reinstate
MANAPPURAM,add,2017-11-13,wayback:reinstate
MGL,add,2017-11-13,wayback:reinstate
MRPL,add,2017-11-13,wayback:reinstate
NATCOPHARM,add,2017-11-13,wayback:reinstate
NBCC,add,2017-11-13,wayback:reinstate
PCJEWELLER,add,2017-11-13,wayback:reinstate
PEL,add,2017-11-13,wayback:reinstate
PETRONET,add,2017-11-13,wayback:reinstate
PGHH,add,2017-11-13,wayback:reinstate
PNBHOUSING,add,2017-11-13,wayback:reinstate
RAJESHEXPO,add,2017-11-13,wayback:reinstate
RAMCOCEM,add,2017-11-13,wayback:reinstate
RBLBANK,add,2017-11-13,wayback:reinstate
RCOM,add,2017-11-13,wayback:reinstate
RELINFRA,add,2017-11-13,wayback:reinstate
RPOWER,add,2017-11-13,wayback:reinstate
SPARC,add,2017-11-13,wayback:reinstate
STAR,add,2017-11-13,wayback:reinstate
SUNTV,add,2017-11-13,wayback:reinstate
SYNDIBANK,add,2017-11-13,wayback:reinstate
SYNGENE,add,2017-11-13,wayback:reinstate
TATACHEM,add,2017-11-13,wayback:reinstate
TATAMOTORS,add,2017-11-13,wayback:reinstate
TORNTPOWER,add,2017-11-13,wayback:reinstate
TV18BRDCST,add,2017-11-13,wayback:reinstate
UBL,add,2017-11-13,wayback:reinstate
VAKRANGEE,add,2017-11-13,wayback:reinstate
WELSPUNIND,add,2017-11-13,wayback:reinstate
WOCKPHARMA,add,2017-11-13,wayback:reinstate
ZEEL,add,2017-11-13,wayback:reinstate
CESC,remove,2018-03-15,wayback:demote
RELCAPITAL,add,2018-03-15,wayback:reinstate
STAR,remove,2018-03-15,wayback:demote
VGUARD,add,2018-03-15,wayback:reinstate
AIAENG,remove,2019-02-02,wayback:demote
ARVIND,remove,2019-02-02,wayback:demote
AVANTIFEED,add,2019-02-02,wayback:reinstate
BANDHANBNK,add,2019-02-02,wayback:reinstate
BBTC,add,2019-02-02,wayback:reinstate
BHARATFIN,remove,2019-02-02,wayback:demote
CENTURYTEX,remove,2019-02-02,wayback:demote
CRISIL,remove,2019-02-02,wayback:demote
DALMIABHA,remove,2019-02-02,wayback:demote
DBL,add,2019-02-02,wayback:reinstate
EMAMILTD,remove,2019-02-02,wayback:demote
ESCORTS,add,2019-02-02,wayback:reinstate
FCONSUMER,add,2019-02-02,wayback:reinstate
FRETAIL,add,2019-02-02,wayback:reinstate
GICRE,add,2019-02-02,wayback:reinstate
GLAXO,remove,2019-02-02,wayback:demote
GODREJAGRO,add,2019-02-02,wayback:reinstate
GPPL,remove,2019-02-02,wayback:demote
GRAPHITE,add,2019-02-02,wayback:reinstate
GSKCONS,remove,2019-02-02,wayback:demote
HEG,add,2019-02-02,wayback:reinstate
IBVENTURES,add,2019-02-02,wayback:reinstate
IRB,remove,2019-02-02,wayback:demote
KARURVYSYA,remove,2019-02-02,wayback:demote
NIACL,add,2019-02-02,wayback:reinstate
QUESS,add,2019-02-02,wayback:reinstate
RCOM,remove,2019-02-02,wayback:demote
STRTECH,add,2019-02-02,wayback:reinstate
SYNDIBANK,remove,2019-02-02,wayback:demote
VARROC,add,2019-02-02,wayback:reinstate
WELSPUNIND,remove,2019-02-02,wayback:demote
WOCKPHARMA,remove,2019-02-02,wayback:demote
ABBOTINDIA,add,2023-08-11,wayback:reinstate
AJANTPHARM,remove,2023-08-11,wayback:demote
AVANTIFEED,remove,2023-08-11,wayback:demote
AWL,add,2023-08-11,wayback:reinstate
BBTC,remove,2023-08-11,wayback:demote
CASTROLIND,remove,2023-08-11,wayback:demote
CENTRALBK,remove,2023-08-11,wayback:demote
DALBHARAT,add,2023-08-11,wayback:reinstate
DBL,remove,2023-08-11,wayback:demote
DEEPAKNTR,add,2023-08-11,wayback:reinstate
DELHIVERY,add,2023-08-11,wayback:reinstate
DEVYANI,add,2023-08-11,wayback:reinstate
DHFL,remove,2023-08-11,wayback:demote
DISHTV,remove,2023-08-11,wayback:demote
EDELWEISS,remove,2023-08-11,wayback:demote
ENDURANCE,remove,2023-08-11,wayback:demote
ENGINERSIN,remove,2023-08-11,wayback:demote
FCONSUMER,remove,2023-08-11,wayback:demote
FLUOROCHEM,add,2023-08-11,wayback:reinstate
FRETAIL,remove,2023-08-11,wayback:demote
GICRE,remove,2023-08-11,wayback:demote
GLAND,add,2023-08-11,wayback:reinstate
GMRINFRA,remove,2023-08-11,wayback:demote
GODREJAGRO,remove,2023-08-11,wayback:demote
GODREJIND,remove,2023-08-11,wayback:demote
GRAPHITE,remove,2023-08-11,wayback:demote
GRUH,remove,2023-08-11,wayback:demote
GSPL,remove,2023-08-11,wayback:demote
GUJGASLTD,add,2023-08-11,wayback:reinstate
HDFC,remove,2023-08-11,wayback:demote
HEG,remove,2023-08-11,wayback:demote
HEXAWARE,remove,2023-08-11,wayback:demote
HONAUT,add,2023-08-11,wayback:reinstate
IBULHSGFIN,remove,2023-08-11,wayback:demote
IBVENTURES,remove,2023-08-11,wayback:demote
IDBI,remove,2023-08-11,wayback:demote
INFRATEL,remove,2023-08-11,wayback:demote
JUBILANT,remove,2023-08-11,wayback:demote
LICI,add,2023-08-11,wayback:reinstate
LTIM,add,2023-08-11,wayback:reinstate
LTTS,add,2023-08-11,wayback:reinstate
MANAPPURAM,remove,2023-08-11,wayback:demote
MGL,remove,2023-08-11,wayback:demote
MRPL,remove,2023-08-11,wayback:demote
MSUMI,add,2023-08-11,wayback:reinstate
NATCOPHARM,remove,2023-08-11,wayback:demote
NAVINFLUOR,add,2023-08-11,wayback:reinstate
NBCC,remove,2023-08-11,wayback:demote
NIACL,remove,2023-08-11,wayback:demote
PCJEWELLER,remove,2023-08-11,wayback:demote
PNBHOUSING,remove,2023-08-11,wayback:demote
POONAWALLA,add,2023-08-11,wayback:reinstate
QUESS,remove,2023-08-11,wayback:demote
RAJESHEXPO,remove,2023-08-11,wayback:demote
RBLBANK,remove,2023-08-11,wayback:demote
RELCAPITAL,remove,2023-08-11,wayback:demote
RELINFRA,remove,2023-08-11,wayback:demote
RPOWER,remove,2023-08-11,wayback:demote
SONACOMS,add,2023-08-11,wayback:reinstate
SPARC,remove,2023-08-11,wayback:demote
STRTECH,remove,2023-08-11,wayback:demote
TRIDENT,add,2023-08-11,wayback:reinstate
TTML,add,2023-08-11,wayback:reinstate
TV18BRDCST,remove,2023-08-11,wayback:demote
VAKRANGEE,remove,2023-08-11,wayback:demote
VARROC,remove,2023-08-11,wayback:demote
VGUARD,remove,2023-08-11,wayback:demote
WHIRLPOOL,add,2023-08-11,wayback:reinstate
ABBOTINDIA,remove,2024-01-14,wayback:demote
ABFRL,remove,2024-01-14,wayback:demote
ACC,remove,2024-01-14,wayback:demote
APOLLOTYRE,remove,2024-01-14,wayback:demote
AWL,remove,2024-01-14,wayback:demote
BALKRISIND,remove,2024-01-14,wayback:demote
BANDHANBNK,remove,2024-01-14,wayback:demote
BATAINDIA,remove,2024-01-14,wayback:demote
BERGEPAINT,remove,2024-01-14,wayback:demote
CROMPTON,remove,2024-01-14,wayback:demote
DALBHARAT,remove,2024-01-14,wayback:demote
DEEPAKNTR,remove,2024-01-14,wayback:demote
DELHIVERY,remove,2024-01-14,wayback:demote
DEVYANI,remove,2024-01-14,wayback:demote
ESCORTS,remove,2024-01-14,wayback:demote
FLUOROCHEM,remove,2024-01-14,wayback:demote
GLAND,remove,2024-01-14,wayback:demote
GUJGASLTD,remove,2024-01-14,wayback:demote
HONAUT,remove,2024-01-14,wayback:demote
ICICIPRULI,remove,2024-01-14,wayback:demote
IGL,remove,2024-01-14,wayback:demote
IPCALAB,remove,2024-01-14,wayback:demote
LALPATHLAB,remove,2024-01-14,wayback:demote
LICI,remove,2024-01-14,wayback:demote
LTIM,remove,2024-01-14,wayback:demote
LTTS,remove,2024-01-14,wayback:demote
MSUMI,remove,2024-01-14,wayback:demote
NAVINFLUOR,remove,2024-01-14,wayback:demote
PEL,remove,2024-01-14,wayback:demote
PETRONET,remove,2024-01-14,wayback:demote
PGHH,remove,2024-01-14,wayback:demote
POONAWALLA,remove,2024-01-14,wayback:demote
RAMCOCEM,remove,2024-01-14,wayback:demote
SONACOMS,remove,2024-01-14,wayback:demote
SUNTV,remove,2024-01-14,wayback:demote
SYNGENE,remove,2024-01-14,wayback:demote
TATACHEM,remove,2024-01-14,wayback:demote
TATAMOTORS,remove,2024-01-14,wayback:demote
TORNTPOWER,remove,2024-01-14,wayback:demote
TRIDENT,remove,2024-01-14,wayback:demote
TTML,remove,2024-01-14,wayback:demote
UBL,remove,2024-01-14,wayback:demote
WHIRLPOOL,remove,2024-01-14,wayback:demote
ZEEL,remove,2024-01-14,wayback:demote
