symbol,sector
360ONE,Financial Services
ABB,Capital Goods
APLAPOLLO,Capital Goods
AUBANK,Financial Services
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ATGL,Oil Gas & Consumable Fuels
ABCAPITAL,Financial Services
ALKEM,Healthcare
AMBUJACEM,Construction Materials
APOLLOHOSP,Healthcare
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTRAL,Capital Goods
AUROPHARMA,Healthcare
DMART,Consumer Services
AXISBANK,Financial Services
BSE,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Automobile and Auto Components
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARTIARTL,Telecommunication
GROWW,Financial Services
BIOCON,Healthcare
BLUESTARCO,Consumer Durables
BOSCHLTD,Automobile and Auto Components
BRITANNIA,Fast Moving Consumer Goods
CGPOWER,Capital Goods
CANBK,Financial Services
CHOLAFIN,Financial Services
CIPLA,Healthcare
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COLPAL,Fast Moving Consumer Goods
CONCOR,Services
COROMANDEL,Chemicals
CUMMINSIND,Capital Goods
DLF,Realty
DABUR,Fast Moving Consumer Goods
DIVISLAB,Healthcare
DIXON,Consumer Durables
DRREDDY,Healthcare
EICHERMOT,Automobile and Auto Components
ETERNAL,Consumer Services
EXIDEIND,Automobile and Auto Components
NYKAA,Consumer Services
FEDERALBNK,Financial Services
FORTIS,Healthcare
GAIL,Oil Gas & Consumable Fuels
GVT&D,Capital Goods
GMRAIRPORT,Services
GLENMARK,Healthcare
GODFRYPHLP,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJPROP,Realty
GRASIM,Construction Materials
HCLTECH,Information Technology
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HAVELLS,Consumer Durables
HEROMOTOCO,Automobile and Auto Components
HINDALCO,Metals & Mining
HAL,Capital Goods
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
POWERINDIA,Capital Goods
HUDCO,Financial Services
HYUNDAI,Automobile and Auto Components
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIAMC,Financial Services
IDFCFIRSTB,Financial Services
ITC,Fast Moving Consumer Goods
INDIANB,Financial Services
INDHOTEL,Consumer Services
IOC,Oil Gas & Consumable Fuels
IRCTC,Consumer Services
IRFC,Financial Services
IREDA,Financial Services
INDUSTOWER,Telecommunication
INDUSINDBK,Financial Services
NAUKRI,Consumer Services
INFY,Information Technology
INDIGO,Services
JSWENERGY,Power
JSWSTEEL,Metals & Mining
JINDALSTEL,Metals & Mining
JIOFIN,Financial Services
JUBLFOOD,Consumer Services
KEI,Capital Goods
KPITTECH,Information Technology
KALYANKJIL,Consumer Durables
KOTAKBANK,Financial Services
LTF,Financial Services
LGEINDIA,Consumer Durables
LICHSGFIN,Financial Services
LTM,Information Technology
LT,Construction
LAURUSLABS,Healthcare
LENSKART,Consumer Services
LODHA,Realty
LUPIN,Healthcare
MRF,Automobile and Auto Components
M&MFIN,Financial Services
M&M,Automobile and Auto Components
MANKIND,Healthcare
MARICO,Fast Moving Consumer Goods
MARUTI,Automobile and Auto Components
MFSL,Financial Services
MAXHEALTH,Healthcare
MAZDOCK,Capital Goods
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MCX,Financial Services
MUTHOOTFIN,Financial Services
NHPC,Power
NMDC,Metals & Mining
NTPC,Power
NATIONALUM,Metals & Mining
NESTLEIND,Fast Moving Consumer Goods
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
PAYTM,Financial Services
OFSS,Information Technology
POLICYBZR,Financial Services
PIIND,Chemicals
PAGEIND,Textiles
PATANJALI,Fast Moving Consumer Goods
PERSISTENT,Information Technology
PHOENIXLTD,Realty
PIDILITIND,Chemicals
POLYCAB,Capital Goods
PFC,Financial Services
POWERGRID,Power
PREMIERENE,Capital Goods
PRESTIGE,Realty
PNB,Financial Services
RECLTD,Financial Services
RADICO,Fast Moving Consumer Goods
RVNL,Construction
RELIANCE,Oil Gas & Consumable Fuels
SBICARD,Financial Services
SBILIFE,Financial Services
SRF,Chemicals
MOTHERSON,Automobile and Auto Components
SHREECEM,Construction Materials
SHRIRAMFIN,Financial Services
ENRIN,Capital Goods
SIEMENS,Capital Goods
SOLARINDS,Chemicals
SBIN,Financial Services
SAIL,Metals & Mining
SUNPHARMA,Healthcare
SUPREMEIND,Capital Goods
SUZLON,Capital Goods
SWIGGY,Consumer Services
TVSMOTOR,Automobile and Auto Components
TATACAP,Financial Services
TATACOMM,Telecommunication
TCS,Information Technology
TATACONSUM,Fast Moving Consumer Goods
TATAELXSI,Information Technology
TATAINVEST,Financial Services
TMCV,Capital Goods
TMPV,Automobile and Auto Components
TATAPOWER,Power
TATASTEEL,Metals & Mining
TECHM,Information Technology
TITAN,Consumer Durables
TORNTPHARM,Healthcare
TRENT,Consumer Services
TIINDIA,Automobile and Auto Components
UPL,Chemicals
ULTRACEMCO,Construction Materials
UNIONBANK,Financial Services
UNITDSPR,Fast Moving Consumer Goods
VBL,Fast Moving Consumer Goods
VEDL,Metals & Mining
VMM,Consumer Services
IDEA,Telecommunication
VOLTAS,Consumer Durables
WAAREEENER,Capital Goods
WIPRO,Information Technology
YESBANK,Financial Services
ZYDUSLIFE,Healthcare
