rank,symbol,score,bucket
1,PATANJALI,0.19044668122846242,long
2,KPITTECH,0.15122412235002583,long
3,LODHA,0.1089116019371385,long
4,VEDL,0.08077967793685134,long
5,ENRIN,0.027234585783309964,long
6,GVT&D,-0.03545078455894799,long
7,PAYTM,-0.06779273534751239,long
8,KALYANKJIL,-0.0852502788957783,long
9,NYKAA,-0.11639180062024083,long
10,ADANIENSOL,-0.1393429870323549,long
11,LAURUSLABS,-0.1436585855494023,long
12,ABCAPITAL,-0.14502950503904324,long
13,TATAELXSI,-0.16216858640778997,long
14,SWIGGY,-0.171908076745064,long
15,ADANIPOWER,-0.18201386366098102,long
16,FEDERALBNK,-0.1951676408483899,long
17,RADICO,-0.20687487569457552,long
18,BHARATFORG,-0.22626810216273419,long
19,ADANIGREEN,-0.23974691874295959,long
20,BIOCON,-0.2557172103676743,long
21,BHEL,-0.2594933708621614,hold
22,POWERINDIA,-0.26517421714892947,hold
23,LTF,-0.28249015412738976,hold
24,OFSS,-0.3205117429719826,hold
25,MCX,-0.3247608920335739,hold
26,NATIONALUM,-0.3310802234846137,hold
27,HCLTECH,-0.3411820316407829,hold
28,INFY,-0.3475646123478439,hold
29,KEI,-0.3773594216393765,hold
30,ICICIGI,-0.4007824355475216,hold
31,DIXON,-0.40293345409957176,hold
32,EXIDEIND,-0.4127572681082836,hold
33,TECHM,-0.41383413559369603,hold
34,PRESTIGE,-0.4188500403936674,hold
35,M&MFIN,-0.4329049091548128,hold
36,PHOENIXLTD,-0.4465867951881873,hold
37,BSE,-0.45626790502840314,hold
38,LTM,-0.47453648159076894,hold
39,ABB,-0.4773190035174462,hold
40,NAUKRI,-0.4784514319498661,hold
41,CGPOWER,-0.4823560052496227,hold
42,POLYCAB,-0.4910274211680939,hold
43,HINDALCO,-0.5030310078887468,hold
44,COFORGE,-0.5046318836908883,hold
45,ADANIENT,-0.5047851228537822,hold
46,SHRIRAMFIN,-0.519022525688548,hold
47,TATACOMM,-0.5192522418654136,hold
48,INDIANB,-0.5364551707572045,hold
49,CUMMINSIND,-0.5425599633758321,hold
50,BANKINDIA,-0.5473845544651238,hold
51,360ONE,-0.5587835598505269,hold
52,SAIL,-0.5614283894734343,hold
53,PERSISTENT,-0.5644686688605085,hold
54,ATGL,-0.570264488822776,hold
55,MOTHERSON,-0.5724933307367158,hold
56,SBICARD,-0.5754623298815762,hold
57,COLPAL,-0.578648885152456,hold
58,GODREJPROP,-0.5800489151218006,hold
59,AUROPHARMA,-0.5882069837982905,hold
60,INDUSINDBK,-0.6069356821061714,hold
61,MANKIND,-0.6156863320718071,hold
62,JIOFIN,-0.6193870023433932,hold
63,CHOLAFIN,-0.6233774353449307,hold
64,DLF,-0.624280158490548,hold
65,MUTHOOTFIN,-0.6256925516744106,hold
66,ASHOKLEY,-0.6375845947948813,hold
67,SOLARINDS,-0.6386437937831803,hold
68,TORNTPHARM,-0.6476108265177049,hold
69,PREMIERENE,-0.6491012440140064,hold
70,HDFCAMC,-0.6533344570793896,hold
71,HINDPETRO,-0.6550709278659023,hold
72,CONCOR,-0.6569637118488093,hold
73,RVNL,-0.6597857636004462,hold
74,MPHASIS,-0.6646434019201907,hold
75,TCS,-0.6651726141394202,hold
76,PIIND,-0.6736818769539283,hold
77,COROMANDEL,-0.6767615655767584,hold
78,ZYDUSLIFE,-0.6851827434181716,hold
79,GLENMARK,-0.6871125174555349,hold
80,ASTRAL,-0.6929756045117603,hold
81,IRCTC,-0.6934321939630198,hold
82,SIEMENS,-0.7016718330257777,hold
83,BLUESTARCO,-0.7022841132769965,hold
84,TIINDIA,-0.7075799701068762,hold
85,HINDZINC,-0.7075958139155637,hold
86,NMDC,-0.7098655008932878,hold
87,UNIONBANK,-0.7114978523471266,hold
88,AMBUJACEM,-0.714161077896148,hold
89,OIL,-0.7147446819062617,hold
